metric,k,delta_type,delta_param,delta,p_tost,p_tost_holm,equivalent
P@100,100,absolute,0.0300000000,0.0300000000,1.1665700706693233e-17,4.666280282677293e-17,true
P@10,10,absolute,0.0500000000,0.0500000000,0.0000016323,0.0000016323,true
P@25,25,absolute,0.0500000000,0.0500000000,0.0000000016,0.0000000032,true
P@50,50,absolute,0.0500000000,0.0500000000,5.26028107666464e-19,1.578084322999392e-18,true
P@100,100,absolute,0.0500000000,0.0500000000,6.146249955881127e-27,2.458499982352451e-26,true
P@10,10,relative,0.0250000000,0.0119000000,0.3140390510,0.3140390510,false
P@25,25,relative,0.0250000000,0.0107600000,0.1058311530,0.2116623061,false
P@50,50,relative,0.0250000000,0.0097700000,0.0089078023,0.0267234068,true
P@100,100,relative,0.0250000000,0.0086150000,0.0003284458,0.0013137834,true
P@10,10,relative,0.0500000000,0.0238000000,0.0269580932,0.0269580932,true
P@25,25,relative,0.0500000000,0.0215200000,0.0028287063,0.0056574126,true
P@50,50,relative,0.0500000000,0.0195400000,0.0000016472,0.0000049415,true
P@100,100,relative,0.0500000000,0.0172300000,0.0000000009,0.0000000036,true
P@10,10,relative,0.1000000000,0.0476000000,0.0000045907,0.0000045907,true
P@25,25,relative,0.1000000000,0.0430400000,0.0000000682,0.0000001364,true
P@50,50,relative,0.1000000000,0.0390800000,6.504486282046296e-15,1.9513458846138886e-14,true
P@100,100,relative,0.1000000000,0.0344600000,4.9442570338800965e-20,1.9777028135520386e-19,true
